174	174	2
123	7364	25
5459	5053	5
110	9225	31
1967	9180	25
2354	9139	10
111	108	2
130	1051	19
105	8658	4
130	6301	0
1130	5912	2
171	8694	0
111	683	2
21752	9551	10
222	3641	4
456	3800	18
106	5913	13
112	2117	7
101	5200	4
8606	5919	10
228	7237	9
2025	3841	8
202	4881	4
101	8049	1
102	6868	9
25234	8998	14
102	2904	1
237	2563	32
315	8141	24
189	3232	13
109	2882	20
1211	2105	28
125	8865	23
356	6593	27
127	1960	19
125	6530	21
838	6345	16
12237	906	0
801	9915	20
218	9269	2
102	1042	24
7631	2760	21
4868	1503	16
184	4883	8
317	2403	5
606	1124	30
276	193	22
119	8215	23
451	2676	17
985	1815	12
18515	8987	4
131	2309	45
2275	6590	40
106	5465	15
22319	7051	4
7019	2389	6
101	8668	3
101	3999	23
101	880	16
103	4339	20
410	1800	6
101	8182	3
106	4533	17
113	4339	35
12	19	5
101	6500	38
2668	2130	5
138	6893	11
111	4677	20
102	6647	1
101	1791	4
558	9644	0
103	4786	2
101	6777	23
21187	9609	5
9092	468	16
110	584	6
16040	5595	14
3339	6416	2
218	7633	0
167	2867	11
8	3281	18
2261	1383	4
8401	851	6
5274	2750	6
101	2847	19
1083	8820	21
7330	4150	6
2347	1323	14
103	3899	1
1790	8001	16
282	2285	15
1888	873	4
19245	1263	6
666	3341	26
103	4604	4
177	5995	9
414	7177	2
792	9448	11
2549	9155	9
102	8766	15
7614	5967	4
490	9150	0
14591	3728	0
101	5882	10
128	3592	16
2665	6517	8
101	349	28
110	3886	7
734	2895	8
16064	3981	29
11837	4511	2
18309	8750	9
112	2379	3
121	5339	14
110	4585	2
1542	8701	1
101	796	10
400	9878	19
109	4768	11
117	4691	9
149	2333	0
120	2104	15
2536	6995	11
422	7893	3
10551	7501	3
108	6670	12
1959	6508	8
12780	8506	10
322	6460	3
126	5803	5
243	4392	15
417	3551	2
1731	1864	2
116	7320	10
16170	8633	27
1266	2112	21
106	4449	36
143	9588	23
457	3464	21
6603	496	5
129	8161	10
105	2384	2
106	2933	18
164	8969	21
17460	9119	11
3572	8803	19
20640	1067	7
2313	4697	18
166	2874	3
112	4610	6
430	801	8
122	3107	7
554	3915	11
193	1870	11
4316	2944	6
596	8825	0
2278	7623	10
628	486	22
774	7224	11
1483	5941	5
102	2769	7
108	3274	16
111	1864	12
121	5010	14
352	3927	19
141	3879	12
180	5622	1
2288	7875	1
101	923	8
735	8360	0
1245	4641	0
8816	2239	12
1087	4245	9
2486	6876	3
4769	4702	7
102	9178	7
142	2857	2
611	4903	3
1991	2818	15
397	3220	7
113	8608	22
14	7109	17
102	5360	15
108	4878	4
104	4690	20
16689	8476	10
12	9169	9
190	4451	9
14088	3429	0
167	1588	5
109	7562	9
177	9679	1
382	5808	6
107	6796	7
1357	2620	3
110	5925	5
119	1626	15
286	4291	2
1119	1124	5
111	3656	4
129	3723	15
102	2325	22
171	8698	1
4702	422	6
196	5104	6
107	6440	13
446	5165	17
1198	8985	1
105	4287	8
1637	2835	0
16728	8668	7
8292	854	6
355	3498	0
435	6173	16
1499	4003	5
4234	9138	7
4547	6424	20
395	6654	11
132	7391	18
3275	5411	4
602	4982	5
8129	9811	1
101	94	13
101	1936	15
109	1605	26
103	9183	14
959	7540	10
111	7087	16
637	3592	19
367	4376	14
2379	9561	46
9456	7544	5
630	7056	0
1476	7309	10
152	9935	1
360	7718	23
3711	6284	11
158	966	5
15688	8847	8
405	3468	23
6399	8830	23
295	2200	18
118	146	21
492	5661	18
155	3394	8
350	9396	6
113	9505	6
5567	4403	5
147	184	10
1337	5894	31
2395	1907	1
877	8300	12
5055	4337	11
2509	8362	16
325	6868	21
373	2508	0
110	9454	6
101	4187	3
157	685	19
549	2775	11
101	8281	4
166	7767	0
3931	176	13
673	8699	28
14	5668	18
279	5504	18
649	8916	0
278	2348	29
1066	7755	6
117	688	10
389	672	7
107	4834	16
269	5303	23
103	8152	2
688	7103	0
113	1168	36
115	4043	38
147	3380	7
602	6134	1
291	8989	7
141	3412	34
107	5997	4
101	4764	3
101	1246	9
211	9108	8
3737	9125	6
109	8102	17
1325	4282	5
133	5425	11
3430	1978	2
2285	3924	2
140	6596	25
102	1297	9
140	9420	5
8685	1267	36
8652	1184	16
2556	3095	19
5844	4533	7
105	7930	1
9781	6498	14
139	4965	18
5727	776	7
1883	4328	6
769	2720	13
8844	4505	2
114	2941	7
102	6706	4
1959	4673	12
4566	6352	14
23691	800	5
105	3382	11
710	3881	20
12	7861	15
103	9915	2
198	9046	23
6717	8112	32
19241	3160	6
16	5923	1
12	114	10
108	779	10
2865	5656	13
19339	5980	0
113	8166	12
156	5409	13
5658	3292	5
114	7058	5
14	5505	12
134	7996	10
17542	6955	8
1066	2633	14
107	524	6
8	6608	11
102	5076	1
1497	4123	4
111	8864	10
113	2560	12
158	8107	14
151	2400	1
3832	5973	11
1872	8767	21
104	9588	29
104	721	12
104	6268	1
105	4795	2
22309	4278	7
